id,name,type,category,status,owner,automated,schedule,platform,url,tags,coverage_areas,checks_performed,notes,last_updated
34,Ratings Check for PLP Pages,Check,Testing,Active,DPO Team,Yes,Every 30 min,GitHub Actions + Selenium,,ratings|plp|reviews|github,Mens Running Shoes PLP|Womens Running Shoes PLP|Mens Apparel PLP|Womens Apparel PLP,Ratings widget presence check|Star rating render validation|Review count display check|Ratings API response check,Validates that ratings and review widgets render correctly on all key PLP pages. Alerts on widget absence.,2026-03-08
35,Checkout Flow — Add to Cart Check,Check,Commerce,Active,DPO Team,Yes,Every 30 min,GitHub Actions + Selenium,,checkout|add-to-cart|commerce|critical|github,PDP pages|Cart page|Mini cart,Add to cart button presence|Button keyword validation|Cart page load confirmation|Mini cart render check,Critical commerce path check. Add to cart keyword validated on Ghost 16 and Adrenaline PDPs. Failure triggers immediate Slack alert.,2026-03-08
36,URL Check — Home PDP PLP,Check,Monitoring,Active,DPO Team,Yes,Every 30 min,GitHub Actions + Selenium,,urls|homepage|pdp|plp|github,Homepage|Ghost 16 PDP|Adrenaline PDP|Mens Running Shoes PLP|Womens Running Shoes PLP,HTTP status check|Page load validation|Keyword presence check|Response time measurement|Bot-bypass render,Core URL availability checks. Part of the site health monitor suite. Results stored in results.csv.,2026-03-08
37,LogicMonitor Check — Sitecore URL,Check,Monitoring,Active,Platform Team,Yes,Every 5 min,LogicMonitor,,logicmonitor|sitecore|cms|url,Sitecore CMS endpoints|Content delivery URLs|Preview endpoints,HTTP availability check|Response time SLA|Status code validation|Sitecore health endpoint ping,Monitors Sitecore CMS URLs for availability. Alerts Platform Team via PagerDuty on failure.,2026-03-08
38,LogicMonitor Check — Home PDP PLP,Check,Monitoring,Active,Platform Team,Yes,Every 5 min,LogicMonitor,,logicmonitor|homepage|pdp|plp|synthetic,Homepage|PDP pages|PLP pages,HTTP uptime check|Response time tracking|Multi-location check|SLA breach alerting,LogicMonitor synthetic checks running every 5 min from multiple locations. Backup to GitHub Actions checks.,2026-03-08
39,LogicMonitor Check — Staging and Dev,Check,Monitoring,Active,Platform Team,Yes,Every 15 min,LogicMonitor,,logicmonitor|staging|development|environments,Staging environment|Development environment|UAT environment|Preview environment,Environment availability check|Staging URL health|Dev endpoint validation|Environment response check,Monitors non-production environments to catch issues before promotion to production. Alerts dev team on failure.,2026-03-08
40,JSM Alert — Cybersource Payment Service,Alert,Integrations,Active,Platform Team,Yes,Real-time event-driven,JSM + Cybersource,,jsm|cybersource|payments|alerts|jira-service-management,Cybersource payment gateway|Payment processing API|Tokenisation service|Fraud scoring service,Payment API availability alert|Transaction failure rate alert|Fraud score threshold alert|Gateway timeout detection|Payment decline rate spike,JSM integration receiving Cybersource webhook events. Auto-creates P1 Jira tickets on payment gateway failure. Escalates to Platform and Commerce teams.,2026-03-08
41,JSM Alert — SFCC Jobs,Alert,Integrations,Active,Platform Team,Yes,Real-time event-driven,JSM + Salesforce Commerce Cloud,,jsm|sfcc|jobs|scheduled-jobs|jira-service-management,SFCC custom job scheduler|Product import jobs|Price book sync|Inventory sync|Order export jobs,Job failure detection|Job timeout alert|Stuck job detection|Queue depth alert|Data sync validation,JSM integration monitoring SFCC scheduled job execution. Auto-creates Jira tickets on job failure or timeout. Daily job health digest to DPO team.,2026-03-08
42,JSM Alert — Klarna,Alert,Integrations,Active,Platform Team,Yes,Real-time event-driven,JSM + Klarna,,jsm|klarna|payments|bnpl|jira-service-management,Klarna BNPL service|Klarna session API|Klarna order management,Klarna API availability alert|Session creation failure alert|BNPL option render check|Klarna widget load alert|Order capture failure detection,JSM integration for Klarna buy-now-pay-later service. Alert fires when Klarna session creation fails or widget does not render on checkout.,2026-03-08
43,JSM Alert — Constructor Search,Alert,Integrations,Active,DPO Team,Yes,Real-time event-driven,JSM + Constructor.io,,jsm|constructor|search|recommendations|jira-service-management,Constructor.io search API|Autocomplete service|Recommendation widgets|Browse API,Search API availability alert|Zero results rate spike|Autocomplete failure detection|Recommendation widget load alert|Browse API response time alert,JSM integration for Constructor.io search and recommendations. Auto-creates Jira ticket on API failure or zero results rate exceeding threshold.,2026-03-08
44,JSM Alert — Sitecore CMS,Alert,Integrations,Active,Platform Team,Yes,Real-time event-driven,JSM + Sitecore,,jsm|sitecore|cms|content|jira-service-management,Sitecore content delivery|CMS authoring environment|Content API|Media delivery,CMS availability alert|Content delivery failure|Publishing pipeline failure|Media CDN alert|Authoring environment health,JSM integration for Sitecore CMS health events. Auto-creates Jira tickets on content delivery or publishing failures.,2026-03-08
45,JSM Alert — Akamai CDN,Alert,Integrations,Active,Platform Team,Yes,Real-time event-driven,JSM + Akamai,,jsm|akamai|cdn|cache|jira-service-management,Akamai edge nodes|CDN cache layer|Image delivery|JS and CSS bundles,CDN edge failure alert|Cache purge failure detection|Origin pull spike alert|Asset delivery failure|DDoS event notification,JSM integration receiving Akamai edge events. High-severity CDN failures auto-create P1 Jira tickets with impact scope.,2026-03-08
46,JSM Alert — Order Management System,Alert,Integrations,Active,Platform Team,Yes,Real-time event-driven,JSM + OMS,,jsm|oms|orders|fulfilment|jira-service-management,Order management system|Order routing|Fulfilment API|Return processing,Order processing failure alert|Order routing failure|API timeout detection|Queue backlog alert|Return processing failure,JSM integration monitoring OMS health events. Auto-creates Jira ticket on order processing failures or API timeouts exceeding threshold.,2026-03-08
47,JSM Alert — TaxJar,Alert,Integrations,Active,Platform Team,Yes,Real-time event-driven,JSM + TaxJar,,jsm|taxjar|tax|compliance|jira-service-management,TaxJar tax calculation API|Tax reporting service|Checkout tax display,Tax API availability alert|Tax calculation failure|Incorrect tax response detection|Checkout tax display failure,JSM integration for TaxJar tax calculation service used at checkout. Alerts on API failure or calculation errors which would block checkout completion.,2026-03-08
48,JSM Alert — Narvar Returns,Alert,Integrations,Active,DPO Team,Yes,Real-time event-driven,JSM + Narvar,,jsm|narvar|returns|post-purchase|jira-service-management,Narvar returns portal|Returns API|Return label generation|Return status tracking,Returns portal availability alert|Return initiation failure|Label generation failure|Status update failure|Carrier webhook failure,JSM integration for Narvar post-purchase and returns experience. Alerts DPO and Commerce teams on portal or API failures.,2026-03-08
49,JSM Alert — Bazaarvoice,Alert,Integrations,Active,DPO Team,Yes,Real-time event-driven,JSM + Bazaarvoice,,jsm|bazaarvoice|ratings|reviews|ugc|jira-service-management,Bazaarvoice ratings API|Review display widgets|Q and A widgets|PLP rating syndication,Ratings API availability alert|Widget load failure detection|Review syndication failure|PLP ratings display failure,JSM integration for Bazaarvoice ratings and reviews. Alert fires when ratings API is unreachable or widgets fail to render on PDP and PLP pages.,2026-03-08
50,JSM Alert — Braintree Payments,Alert,Integrations,Active,Platform Team,Yes,Real-time event-driven,JSM + Braintree,,jsm|braintree|payments|paypal|jira-service-management,Braintree payment gateway|PayPal checkout option|Venmo checkout|Payment tokenisation,Payment gateway availability alert|Tokenisation failure|PayPal session failure|High decline rate alert|Payment timeout detection,JSM integration for Braintree payment gateway including PayPal and Venmo. Auto-creates P1 ticket on gateway failure or elevated decline rate.,2026-03-08
